"","code","cdk_id"
"433","336D","gtfs.line.1.336d-1"
"434","336D","gtfs.line.1.336d-0"
"435","336A","gtfs.line.1.336a-1"
"436","336A","gtfs.line.1.336a-0"
"437","33","gtfs.line.1.33-1"
"438","33","gtfs.line.1.33-0"
"439","32T","gtfs.line.1.32t-1"
"440","32T","gtfs.line.1.32t-0"
"441","32M","gtfs.line.1.32m-1"
"442","32M","gtfs.line.1.32m-0"
"443","32A","gtfs.line.1.32a-1"
"444","32A","gtfs.line.1.32a-0"
"445","320A","gtfs.line.1.320a-1"
"446","320A","gtfs.line.1.320a-0"
"447","320","gtfs.line.1.320-1"
"448","320","gtfs.line.1.320-0"
"449","32","gtfs.line.1.32-1"
"450","32","gtfs.line.1.32-0"
"451","31Y","gtfs.line.1.31y-1"
"452","31Y","gtfs.line.1.31y-0"
"453","31K","gtfs.line.1.31k-1"
"454","31K","gtfs.line.1.31k-0"
"455","31E","gtfs.line.1.31e-1"
"456","31E","gtfs.line.1.31e-0"
"457","319","gtfs.line.1.319-1"
"458","319","gtfs.line.1.319-0"
"459","31","gtfs.line.1.31-1"
"460","31","gtfs.line.1.31-0"
"461","30M","gtfs.line.1.30m-0"
"462","30D","gtfs.line.1.30d-1"
"463","30D","gtfs.line.1.30d-0"
"464","30A","gtfs.line.1.30a-0"
"465","303B","gtfs.line.1.303b-1"
"466","303B","gtfs.line.1.303b-0"
"467","303","gtfs.line.1.303-1"
"468","303","gtfs.line.1.303-0"
"469","3","gtfs.line.1.3-1"
"470","3","gtfs.line.1.3-0"
"471","29Ş","gtfs.line.1.29-0"
"472","29T","gtfs.line.1.29t-1"
"473","29T","gtfs.line.1.29t-0"
"474","29P","gtfs.line.1.29p-0"
"475","29M2","gtfs.line.1.29m2-0"
"476","29M1","gtfs.line.1.29m1-0"
"477","29GM","gtfs.line.1.29gm-0"
"478","29D","gtfs.line.1.29d-0"
"479","29B","gtfs.line.1.29b-1"
"480","29B","gtfs.line.1.29b-0"
"481","29A","gtfs.line.1.29a-1"
"482","29A","gtfs.line.1.29a-0"
