layer,code,name,cdk_id,type,clear_name,node_type
gtfs,80,1 bus 80,gtfs.line.1.80-1,bus,,ptline
gtfs,80,1 bus 80,gtfs.line.1.80-0,bus,,ptline
gtfs,79Y,1 bus 79Y,gtfs.line.1.79y-1,bus,,ptline
gtfs,79Y,1 bus 79Y,gtfs.line.1.79y-0,bus,,ptline
gtfs,79T,1 bus 79T,gtfs.line.1.79t-1,bus,,ptline
gtfs,79T,1 bus 79T,gtfs.line.1.79t-0,bus,,ptline
gtfs,79M,1 bus 79M,gtfs.line.1.79m-1,bus,,ptline
gtfs,79M,1 bus 79M,gtfs.line.1.79m-0,bus,,ptline
gtfs,79K,1 bus 79K,gtfs.line.1.79k-1,bus,,ptline
gtfs,79K,1 bus 79K,gtfs.line.1.79k-0,bus,,ptline
gtfs,79G,1 bus 79G,gtfs.line.1.79g-1,bus,,ptline
gtfs,79G,1 bus 79G,gtfs.line.1.79g-0,bus,,ptline
gtfs,79C,1 bus 79C,gtfs.line.1.79c-1,bus,,ptline
gtfs,79C,1 bus 79C,gtfs.line.1.79c-0,bus,,ptline
gtfs,79B,1 bus 79B,gtfs.line.1.79b-1,bus,,ptline
gtfs,79B,1 bus 79B,gtfs.line.1.79b-0,bus,,ptline
gtfs,78Ş,1 bus 78Ş,gtfs.line.1.78-1,bus,,ptline
gtfs,78Ş,1 bus 78Ş,gtfs.line.1.78-0,bus,,ptline
gtfs,78ZB,1 bus 78ZB,gtfs.line.1.78zb-1,bus,,ptline
gtfs,78ZB,1 bus 78ZB,gtfs.line.1.78zb-0,bus,,ptline
gtfs,78M,1 bus 78M,gtfs.line.1.78m-1,bus,,ptline
gtfs,78M,1 bus 78M,gtfs.line.1.78m-0,bus,,ptline
gtfs,78G,1 bus 78G,gtfs.line.1.78g-1,bus,,ptline
gtfs,78G,1 bus 78G,gtfs.line.1.78g-0,bus,,ptline
gtfs,78E,1 bus 78E,gtfs.line.1.78e-1,bus,,ptline
gtfs,78E,1 bus 78E,gtfs.line.1.78e-0,bus,,ptline
gtfs,78C,1 bus 78C,gtfs.line.1.78c-1,bus,,ptline
gtfs,78C,1 bus 78C,gtfs.line.1.78c-0,bus,,ptline
gtfs,78B,1 bus 78B,gtfs.line.1.78b-1,bus,,ptline
gtfs,78B,1 bus 78B,gtfs.line.1.78b-0,bus,,ptline
gtfs,77Ç,1 bus 77Ç,gtfs.line.1.77-1,bus,,ptline
gtfs,77Ç,1 bus 77Ç,gtfs.line.1.77-0,bus,,ptline
gtfs,77MT,1 bus 77MT,gtfs.line.1.77mt-1,bus,,ptline
gtfs,77A,1 bus 77A,gtfs.line.1.77a-0,bus,,ptline
gtfs,76Y,1 bus 76Y,gtfs.line.1.76y-1,bus,,ptline
gtfs,76Y,1 bus 76Y,gtfs.line.1.76y-0,bus,,ptline
gtfs,76O,1 bus 76O,gtfs.line.1.76o-1,bus,,ptline
gtfs,76O,1 bus 76O,gtfs.line.1.76o-0,bus,,ptline
gtfs,76M,1 bus 76M,gtfs.line.1.76m-1,bus,,ptline
gtfs,76M,1 bus 76M,gtfs.line.1.76m-0,bus,,ptline
gtfs,76E,1 bus 76E,gtfs.line.1.76e-1,bus,,ptline
gtfs,76E,1 bus 76E,gtfs.line.1.76e-0,bus,,ptline
gtfs,76D,1 bus 76D,gtfs.line.1.76d-1,bus,,ptline
gtfs,76D,1 bus 76D,gtfs.line.1.76d-0,bus,,ptline
gtfs,76B,1 bus 76B,gtfs.line.1.76b-1,bus,,ptline
gtfs,76B,1 bus 76B,gtfs.line.1.76b-0,bus,,ptline
gtfs,76,1 bus 76,gtfs.line.1.76-1,bus,,ptline
gtfs,76,1 bus 76,gtfs.line.1.76-0,bus,,ptline
gtfs,75O,1 bus 75O,gtfs.line.1.75o-1,bus,,ptline
gtfs,75O,1 bus 75O,gtfs.line.1.75o-0,bus,,ptline
gtfs,75M,1 bus 75M,gtfs.line.1.75m-1,bus,,ptline
gtfs,75M,1 bus 75M,gtfs.line.1.75m-0,bus,,ptline
gtfs,74A,1 bus 74A,gtfs.line.1.74a-1,bus,,ptline
gtfs,74A,1 bus 74A,gtfs.line.1.74a-0,bus,,ptline
gtfs,74,1 bus 74,gtfs.line.1.74-1,bus,,ptline
gtfs,74,1 bus 74,gtfs.line.1.74-0,bus,,ptline
gtfs,73T,1 bus 73T,gtfs.line.1.73t-1,bus,,ptline
gtfs,73T,1 bus 73T,gtfs.line.1.73t-0,bus,,ptline
gtfs,73F,1 bus 73F,gtfs.line.1.73f-1,bus,,ptline
gtfs,73F,1 bus 73F,gtfs.line.1.73f-0,bus,,ptline
gtfs,73,1 bus 73,gtfs.line.1.73-1,bus,,ptline
gtfs,73,1 bus 73,gtfs.line.1.73-0,bus,,ptline
gtfs,72T,1 bus 72T,gtfs.line.1.72t-1,bus,,ptline
gtfs,72T,1 bus 72T,gtfs.line.1.72t-0,bus,,ptline
gtfs,71T,1 bus 71T,gtfs.line.1.71t-1,bus,,ptline
gtfs,71T,1 bus 71T,gtfs.line.1.71t-0,bus,,ptline
gtfs,70KY,1 bus 70KY,gtfs.line.1.70ky-1,bus,,ptline
gtfs,70KY,1 bus 70KY,gtfs.line.1.70ky-0,bus,,ptline
gtfs,70KE,1 bus 70KE,gtfs.line.1.70ke-1,bus,,ptline
gtfs,70KE,1 bus 70KE,gtfs.line.1.70ke-0,bus,,ptline
gtfs,70FY,1 bus 70FY,gtfs.line.1.70fy-1,bus,,ptline
gtfs,70FY,1 bus 70FY,gtfs.line.1.70fy-0,bus,,ptline
gtfs,70FE,1 bus 70FE,gtfs.line.1.70fe-1,bus,,ptline
gtfs,70FE,1 bus 70FE,gtfs.line.1.70fe-0,bus,,ptline
gtfs,7,1 bus 7,gtfs.line.1.7-0,bus,,ptline
gtfs,69A,1 bus 69A,gtfs.line.1.69a-1,bus,,ptline
gtfs,69A,1 bus 69A,gtfs.line.1.69a-0,bus,,ptline
gtfs,66Z,1 bus 66Z,gtfs.line.1.66z-0,bus,,ptline
gtfs,66,1 bus 66,gtfs.line.1.66-1,bus,,ptline
gtfs,66,1 bus 66,gtfs.line.1.66-0,bus,,ptline
gtfs,62G,1 bus 62G,gtfs.line.1.62g-1,bus,,ptline
gtfs,62G,1 bus 62G,gtfs.line.1.62g-0,bus,,ptline
gtfs,61B,1 bus 61B,gtfs.line.1.61b-1,bus,,ptline
gtfs,6,1 bus 6,gtfs.line.1.6-1,bus,,ptline
gtfs,6,1 bus 6,gtfs.line.1.6-0,bus,,ptline
gtfs,59UÇ,1 bus 59UÇ,gtfs.line.1.59u-0,bus,,ptline
gtfs,59S,1 bus 59S,gtfs.line.1.59s-0,bus,,ptline
gtfs,59RS,1 bus 59RS,gtfs.line.1.59rs-1,bus,,ptline
gtfs,59RS,1 bus 59RS,gtfs.line.1.59rs-0,bus,,ptline
gtfs,59RK,1 bus 59RK,gtfs.line.1.59rk-1,bus,,ptline
gtfs,59RK,1 bus 59RK,gtfs.line.1.59rk-0,bus,,ptline
gtfs,59RH,1 bus 59RH,gtfs.line.1.59rh-1,bus,,ptline
gtfs,59RH,1 bus 59RH,gtfs.line.1.59rh-0,bus,,ptline
gtfs,59R,1 bus 59R,gtfs.line.1.59r-0,bus,,ptline
gtfs,59N,1 bus 59N,gtfs.line.1.59n-0,bus,,ptline
gtfs,59K,1 bus 59K,gtfs.line.1.59k-0,bus,,ptline
gtfs,59H,1 bus 59H,gtfs.line.1.59h-0,bus,,ptline
gtfs,59C,1 bus 59C,gtfs.line.1.59c-1,bus,,ptline
gtfs,42T,1 bus 42T,gtfs.line.1.42t-1,bus,,ptline
gtfs,42T,1 bus 42T,gtfs.line.1.42t-0,bus,,ptline
gtfs,42M,1 bus 42M,gtfs.line.1.42m-1,bus,,ptline
gtfs,42M,1 bus 42M,gtfs.line.1.42m-0,bus,,ptline
gtfs,42KT,1 bus 42KT,gtfs.line.1.42kt-1,bus,,ptline
gtfs,42KT,1 bus 42KT,gtfs.line.1.42kt-0,bus,,ptline
gtfs,42KM,1 bus 42KM,gtfs.line.1.42km-1,bus,,ptline
gtfs,42KM,1 bus 42KM,gtfs.line.1.42km-0,bus,,ptline
gtfs,42K,1 bus 42K,gtfs.line.1.42k-1,bus,,ptline
gtfs,42K,1 bus 42K,gtfs.line.1.42k-0,bus,,ptline
gtfs,42HM,1 bus 42HM,gtfs.line.1.42hm-1,bus,,ptline
gtfs,42HM,1 bus 42HM,gtfs.line.1.42hm-0,bus,,ptline
gtfs,429,1 bus 429,gtfs.line.1.429-1,bus,,ptline
gtfs,429,1 bus 429,gtfs.line.1.429-0,bus,,ptline
gtfs,42,1 bus 42,gtfs.line.1.42-1,bus,,ptline
gtfs,42,1 bus 42,gtfs.line.1.42-0,bus,,ptline
gtfs,41ST,1 bus 41ST,gtfs.line.1.41st-1,bus,,ptline
gtfs,41ST,1 bus 41ST,gtfs.line.1.41st-0,bus,,ptline
gtfs,41SM,1 bus 41SM,gtfs.line.1.41sm-1,bus,,ptline
gtfs,41SM,1 bus 41SM,gtfs.line.1.41sm-0,bus,,ptline
gtfs,41SF,1 bus 41SF,gtfs.line.1.41sf-1,bus,,ptline
gtfs,41SF,1 bus 41SF,gtfs.line.1.41sf-0,bus,,ptline
gtfs,41AT,1 bus 41AT,gtfs.line.1.41at-1,bus,,ptline
gtfs,41AT,1 bus 41AT,gtfs.line.1.41at-0,bus,,ptline
gtfs,418,1 bus 418,gtfs.line.1.418-1,bus,,ptline
gtfs,418,1 bus 418,gtfs.line.1.418-0,bus,,ptline
gtfs,41,1 bus 41,gtfs.line.1.41-1,bus,,ptline
gtfs,41,1 bus 41,gtfs.line.1.41-0,bus,,ptline
gtfs,40T,1 bus 40T,gtfs.line.1.40t-1,bus,,ptline
gtfs,40T,1 bus 40T,gtfs.line.1.40t-0,bus,,ptline
gtfs,40B,1 bus 40B,gtfs.line.1.40b-1,bus,,ptline
gtfs,40B,1 bus 40B,gtfs.line.1.40b-0,bus,,ptline
gtfs,404,1 bus 404,gtfs.line.1.404-1,bus,,ptline
gtfs,404,1 bus 404,gtfs.line.1.404-0,bus,,ptline
gtfs,403,1 bus 403,gtfs.line.1.403-1,bus,,ptline
gtfs,403,1 bus 403,gtfs.line.1.403-0,bus,,ptline
gtfs,402,1 bus 402,gtfs.line.1.402-1,bus,,ptline
gtfs,402,1 bus 402,gtfs.line.1.402-0,bus,,ptline
gtfs,401T,1 bus 401T,gtfs.line.1.401t-1,bus,,ptline
gtfs,401T,1 bus 401T,gtfs.line.1.401t-0,bus,,ptline
gtfs,401,1 bus 401,gtfs.line.1.401-1,bus,,ptline
gtfs,401,1 bus 401,gtfs.line.1.401-0,bus,,ptline
gtfs,400A,1 bus 400A,gtfs.line.1.400a-1,bus,,ptline
gtfs,400A,1 bus 400A,gtfs.line.1.400a-0,bus,,ptline
gtfs,400,1 bus 400,gtfs.line.1.400-0,bus,,ptline
gtfs,40,1 bus 40,gtfs.line.1.40-1,bus,,ptline
gtfs,40,1 bus 40,gtfs.line.1.40-0,bus,,ptline
gtfs,4,1 bus 4,gtfs.line.1.4-0,bus,,ptline
gtfs,3B,1 bus 3B,gtfs.line.1.3b-0,bus,,ptline
gtfs,3A,1 bus 3A,gtfs.line.1.3a-0,bus,,ptline
gtfs,39Ç,1 bus 39Ç,gtfs.line.1.39-1,bus,,ptline
gtfs,39Ç,1 bus 39Ç,gtfs.line.1.39-0,bus,,ptline
gtfs,39Y,1 bus 39Y,gtfs.line.1.39y-1,bus,,ptline
gtfs,39Y,1 bus 39Y,gtfs.line.1.39y-0,bus,,ptline
gtfs,39O,1 bus 39O,gtfs.line.1.39o-1,bus,,ptline
gtfs,39O,1 bus 39O,gtfs.line.1.39o-0,bus,,ptline
