stop_list,cdk_id
gtfs.stop.istb.190447;gtfs.stop.istb.189419;gtfs.stop.istb.189417;gtfs.stop.istb.189415;gtfs.stop.istb.189413;gtfs.stop.istb.189411;gtfs.stop.istb.193659;gtfs.stop.istb.192959;gtfs.stop.istb.189951;gtfs.stop.istb.189888;gtfs.stop.istb.189954;gtfs.stop.istb.189949;gtfs.stop.istb.189946;gtfs.stop.istb.190880;gtfs.stop.istb.189944;gtfs.stop.istb.189942;gtfs.stop.istb.189940;gtfs.stop.istb.189937;gtfs.stop.istb.193708;gtfs.stop.istb.192917;gtfs.stop.istb.190482;gtfs.stop.istb.190013;gtfs.stop.istb.190401;gtfs.stop.istb.190010;gtfs.stop.istb.190008;gtfs.stop.istb.189751;gtfs.stop.istb.190004;gtfs.stop.istb.190002;gtfs.stop.istb.189997;gtfs.stop.istb.189789;gtfs.stop.istb.189995;gtfs.stop.istb.193186;gtfs.stop.istb.189993;gtfs.stop.istb.190480;gtfs.stop.istb.190476;gtfs.stop.istb.190474;gtfs.stop.istb.190472;gtfs.stop.istb.190470;gtfs.stop.istb.194023;gtfs.stop.istb.190468;gtfs.stop.istb.190466;gtfs.stop.istb.193735;gtfs.stop.istb.193738;gtfs.stop.istb.193029,gtfs.line.1.ht20-1
gtfs.stop.istb.188987;gtfs.stop.istb.188359;gtfs.stop.istb.184184;gtfs.stop.istb.183193;gtfs.stop.istb.184198;gtfs.stop.istb.183160;gtfs.stop.istb.184529;gtfs.stop.istb.184527;gtfs.stop.istb.184525;gtfs.stop.istb.183195;gtfs.stop.istb.184523;gtfs.stop.istb.184423;gtfs.stop.istb.184449;gtfs.stop.istb.184434;gtfs.stop.istb.184456;gtfs.stop.istb.184458;gtfs.stop.istb.184462;gtfs.stop.istb.184461;gtfs.stop.istb.184475;gtfs.stop.istb.184473;gtfs.stop.istb.184478;gtfs.stop.istb.184481;gtfs.stop.istb.184492;gtfs.stop.istb.183241;gtfs.stop.istb.183192;gtfs.stop.istb.184196;gtfs.stop.istb.184189;gtfs.stop.istb.184548;gtfs.stop.istb.184183;gtfs.stop.istb.184182,gtfs.line.1.em2-0
gtfs.stop.istb.184901;gtfs.stop.istb.184900;gtfs.stop.istb.186142;gtfs.stop.istb.186904;gtfs.stop.istb.191574;gtfs.stop.istb.192186;gtfs.stop.istb.185519;gtfs.stop.istb.192175;gtfs.stop.istb.187436;gtfs.stop.istb.187281;gtfs.stop.istb.192169;gtfs.stop.istb.187528;gtfs.stop.istb.186418;gtfs.stop.istb.186420;gtfs.stop.istb.184579;gtfs.stop.istb.185189;gtfs.stop.istb.186424;gtfs.stop.istb.187526;gtfs.stop.istb.186428;gtfs.stop.istb.184581;gtfs.stop.istb.186430;gtfs.stop.istb.184746;gtfs.stop.istb.186918;gtfs.stop.istb.186432;gtfs.stop.istb.186434;gtfs.stop.istb.186436;gtfs.stop.istb.186438;gtfs.stop.istb.186916;gtfs.stop.istb.192107;gtfs.stop.istb.186442;gtfs.stop.istb.192042;gtfs.stop.istb.192043,gtfs.line.1.e9-1
gtfs.stop.istb.185942;gtfs.stop.istb.191989;gtfs.stop.istb.191992;gtfs.stop.istb.191995;gtfs.stop.istb.191997;gtfs.stop.istb.192000;gtfs.stop.istb.192003;gtfs.stop.istb.192005;gtfs.stop.istb.192006;gtfs.stop.istb.192013;gtfs.stop.istb.192014;gtfs.stop.istb.192015;gtfs.stop.istb.186523;gtfs.stop.istb.192018;gtfs.stop.istb.192021;gtfs.stop.istb.192022;gtfs.stop.istb.192026;gtfs.stop.istb.192030;gtfs.stop.istb.191385;gtfs.stop.istb.192025;gtfs.stop.istb.191389;gtfs.stop.istb.191391;gtfs.stop.istb.191403;gtfs.stop.istb.192073;gtfs.stop.istb.191435;gtfs.stop.istb.191436;gtfs.stop.istb.191437;gtfs.stop.istb.191438;gtfs.stop.istb.191439;gtfs.stop.istb.192068;gtfs.stop.istb.192063;gtfs.stop.istb.192061;gtfs.stop.istb.192058;gtfs.stop.istb.192057;gtfs.stop.istb.192054;gtfs.stop.istb.192052;gtfs.stop.istb.192049;gtfs.stop.istb.191994;gtfs.stop.istb.191993;gtfs.stop.istb.191990,gtfs.line.1.er1-0
gtfs.stop.istb.188987;gtfs.stop.istb.188359;gtfs.stop.istb.184184;gtfs.stop.istb.184197;gtfs.stop.istb.184480;gtfs.stop.istb.184482;gtfs.stop.istb.184491;gtfs.stop.istb.184479;gtfs.stop.istb.184474;gtfs.stop.istb.184476;gtfs.stop.istb.184460;gtfs.stop.istb.184462;gtfs.stop.istb.184458;gtfs.stop.istb.184459;gtfs.stop.istb.184457;gtfs.stop.istb.184433;gtfs.stop.istb.184450;gtfs.stop.istb.184424;gtfs.stop.istb.184522;gtfs.stop.istb.183194;gtfs.stop.istb.184524;gtfs.stop.istb.184526;gtfs.stop.istb.184528;gtfs.stop.istb.183159;gtfs.stop.istb.184199;gtfs.stop.istb.184196;gtfs.stop.istb.184189;gtfs.stop.istb.184548;gtfs.stop.istb.184183;gtfs.stop.istb.184182,gtfs.line.1.em1-0
gtfs.stop.istb.185942;gtfs.stop.istb.191989;gtfs.stop.istb.191992;gtfs.stop.istb.191996;gtfs.stop.istb.192050;gtfs.stop.istb.192053;gtfs.stop.istb.192055;gtfs.stop.istb.192056;gtfs.stop.istb.192059;gtfs.stop.istb.192062;gtfs.stop.istb.192064;gtfs.stop.istb.192069;gtfs.stop.istb.191435;gtfs.stop.istb.191436;gtfs.stop.istb.191437;gtfs.stop.istb.191438;gtfs.stop.istb.191439;gtfs.stop.istb.192072;gtfs.stop.istb.191402;gtfs.stop.istb.191390;gtfs.stop.istb.191388;gtfs.stop.istb.192027;gtfs.stop.istb.192024;gtfs.stop.istb.192023;gtfs.stop.istb.192020;gtfs.stop.istb.192017;gtfs.stop.istb.192016;gtfs.stop.istb.192047;gtfs.stop.istb.192048;gtfs.stop.istb.192004;gtfs.stop.istb.192001;gtfs.stop.istb.191999;gtfs.stop.istb.188008;gtfs.stop.istb.191994;gtfs.stop.istb.191993;gtfs.stop.istb.191990,gtfs.line.1.er2-0
gtfs.stop.istb.184131;gtfs.stop.istb.184331;gtfs.stop.istb.184431;gtfs.stop.istb.184215;gtfs.stop.istb.188266;gtfs.stop.istb.193421;gtfs.stop.istb.193419;gtfs.stop.istb.193658;gtfs.stop.istb.193112;gtfs.stop.istb.193692;gtfs.stop.istb.193349;gtfs.stop.istb.193460;gtfs.stop.istb.189873;gtfs.stop.istb.189691;gtfs.stop.istb.193110;gtfs.stop.istb.189871;gtfs.stop.istb.194131;gtfs.stop.istb.194133;gtfs.stop.istb.194134;gtfs.stop.istb.194132;gtfs.stop.istb.194130;gtfs.stop.istb.194129;gtfs.stop.istb.194127;gtfs.stop.istb.194125;gtfs.stop.istb.194123;gtfs.stop.istb.194121;gtfs.stop.istb.194119;gtfs.stop.istb.194117;gtfs.stop.istb.192961;gtfs.stop.istb.192963;gtfs.stop.istb.192965;gtfs.stop.istb.192970,gtfs.line.1.e58-1
gtfs.stop.istb.185942;gtfs.stop.istb.191989;gtfs.stop.istb.191992;gtfs.stop.istb.191995;gtfs.stop.istb.191997;gtfs.stop.istb.192000;gtfs.stop.istb.192003;gtfs.stop.istb.192005;gtfs.stop.istb.192007;gtfs.stop.istb.192008;gtfs.stop.istb.192009;gtfs.stop.istb.192010;gtfs.stop.istb.192011;gtfs.stop.istb.192012;gtfs.stop.istb.186507;gtfs.stop.istb.192314;gtfs.stop.istb.192315;gtfs.stop.istb.192316;gtfs.stop.istb.192060;gtfs.stop.istb.192057;gtfs.stop.istb.192054;gtfs.stop.istb.192052;gtfs.stop.istb.192049;gtfs.stop.istb.191994;gtfs.stop.istb.191993;gtfs.stop.istb.191990,gtfs.line.1.fb1-0
gtfs.stop.istb.184132;gtfs.stop.istb.184331;gtfs.stop.istb.184431;gtfs.stop.istb.184215;gtfs.stop.istb.188266;gtfs.stop.istb.189373;gtfs.stop.istb.190221;gtfs.stop.istb.189375;gtfs.stop.istb.190222;gtfs.stop.istb.189374;gtfs.stop.istb.193530;gtfs.stop.istb.189380;gtfs.stop.istb.189382;gtfs.stop.istb.193478;gtfs.stop.istb.190219;gtfs.stop.istb.190227;gtfs.stop.istb.190229;gtfs.stop.istb.193495;gtfs.stop.istb.194157;gtfs.stop.istb.190231;gtfs.stop.istb.194040;gtfs.stop.istb.194159;gtfs.stop.istb.194042;gtfs.stop.istb.194044;gtfs.stop.istb.189636;gtfs.stop.istb.189450;gtfs.stop.istb.190552;gtfs.stop.istb.193649;gtfs.stop.istb.193632;gtfs.stop.istb.190541;gtfs.stop.istb.189830;gtfs.stop.istb.190545;gtfs.stop.istb.189549;gtfs.stop.istb.189555;gtfs.stop.istb.193810;gtfs.stop.istb.190460;gtfs.stop.istb.189858;gtfs.stop.istb.189533;gtfs.stop.istb.189535;gtfs.stop.istb.194194;gtfs.stop.istb.189531;gtfs.stop.istb.189529;gtfs.stop.istb.189527;gtfs.stop.istb.193540;gtfs.stop.istb.189525;gtfs.stop.istb.189635;gtfs.stop.istb.189519;gtfs.stop.istb.189433;gtfs.stop.istb.193536;gtfs.stop.istb.190882,gtfs.line.1.e60-1
gtfs.stop.istb.192970;gtfs.stop.istb.192964;gtfs.stop.istb.192962;gtfs.stop.istb.192960;gtfs.stop.istb.194114;gtfs.stop.istb.194116;gtfs.stop.istb.194118;gtfs.stop.istb.194120;gtfs.stop.istb.194122;gtfs.stop.istb.194124;gtfs.stop.istb.194126;gtfs.stop.istb.194128;gtfs.stop.istb.194130;gtfs.stop.istb.194132;gtfs.stop.istb.194134;gtfs.stop.istb.194133;gtfs.stop.istb.194131;gtfs.stop.istb.189870;gtfs.stop.istb.193111;gtfs.stop.istb.194430;gtfs.stop.istb.189690;gtfs.stop.istb.189872;gtfs.stop.istb.193459;gtfs.stop.istb.188265;gtfs.stop.istb.184213;gtfs.stop.istb.184432;gtfs.stop.istb.184330;gtfs.stop.istb.184131,gtfs.line.1.e58-0
gtfs.stop.istb.190882;gtfs.stop.istb.193535;gtfs.stop.istb.189432;gtfs.stop.istb.193537;gtfs.stop.istb.189518;gtfs.stop.istb.189634;gtfs.stop.istb.189524;gtfs.stop.istb.193539;gtfs.stop.istb.189526;gtfs.stop.istb.189528;gtfs.stop.istb.189530;gtfs.stop.istb.194193;gtfs.stop.istb.189534;gtfs.stop.istb.189532;gtfs.stop.istb.189857;gtfs.stop.istb.190459;gtfs.stop.istb.189554;gtfs.stop.istb.193809;gtfs.stop.istb.189548;gtfs.stop.istb.190544;gtfs.stop.istb.193529;gtfs.stop.istb.189829;gtfs.stop.istb.190543;gtfs.stop.istb.190540;gtfs.stop.istb.189695;gtfs.stop.istb.190547;gtfs.stop.istb.190548;gtfs.stop.istb.190550;gtfs.stop.istb.190551;gtfs.stop.istb.189451;gtfs.stop.istb.189450;gtfs.stop.istb.194045;gtfs.stop.istb.192909;gtfs.stop.istb.194043;gtfs.stop.istb.194160;gtfs.stop.istb.194041;gtfs.stop.istb.190232;gtfs.stop.istb.194158;gtfs.stop.istb.190230;gtfs.stop.istb.190228;gtfs.stop.istb.190220;gtfs.stop.istb.193477;gtfs.stop.istb.189383;gtfs.stop.istb.189381;gtfs.stop.istb.189373;gtfs.stop.istb.190222;gtfs.stop.istb.189375;gtfs.stop.istb.190221;gtfs.stop.istb.189374;gtfs.stop.istb.193530;gtfs.stop.istb.188265;gtfs.stop.istb.184213;gtfs.stop.istb.184432;gtfs.stop.istb.184330;gtfs.stop.istb.184132,gtfs.line.1.e60-0
gtfs.stop.istb.192970;gtfs.stop.istb.192964;gtfs.stop.istb.192962;gtfs.stop.istb.192960;gtfs.stop.istb.194114;gtfs.stop.istb.194116;gtfs.stop.istb.194118;gtfs.stop.istb.194120;gtfs.stop.istb.194122;gtfs.stop.istb.194124;gtfs.stop.istb.194126;gtfs.stop.istb.194128;gtfs.stop.istb.194130;gtfs.stop.istb.194132;gtfs.stop.istb.194134;gtfs.stop.istb.194133;gtfs.stop.istb.194131;gtfs.stop.istb.189870;gtfs.stop.istb.193111;gtfs.stop.istb.194430;gtfs.stop.istb.189690;gtfs.stop.istb.189872;gtfs.stop.istb.193459;gtfs.stop.istb.192890;gtfs.stop.istb.192894;gtfs.stop.istb.192896;gtfs.stop.istb.190920;gtfs.stop.istb.190852;gtfs.stop.istb.190434;gtfs.stop.istb.190850;gtfs.stop.istb.190847;gtfs.stop.istb.190363;gtfs.stop.istb.190894;gtfs.stop.istb.191010;gtfs.stop.istb.191007;gtfs.stop.istb.191013;gtfs.stop.istb.191014;gtfs.stop.istb.190993;gtfs.stop.istb.190994;gtfs.stop.istb.190997,gtfs.line.1.e57-0
